id,total.01,foreign.01,english.01,other01,,total.06,foreign.06,english.06,other06,,total.11,foreign.11,english.11,other.11,,,,,,,,,,,,,
124031465,4525,262,4051,212,,4768,289,4247,232,,4964,309,4505,150,,,,,,,,,,,,,
124041466,13226,838,11741,647,,12959,831,11395,733,,13593,917,12038,638,,,,,,,,,,,,,
124041467,15711,694,14190,827,,15295,619,13776,900,,15580,754,14215,611,,,,,,,,,,,,,
124041468,6443,614,4990,839,,7017,651,5338,1028,,6756,590,5230,936,,,,,,,,,,,,,
124051469,7035,1525,5211,299,,6943,1406,5273,264,,6619,1289,5095,235,,,,,,,,,,,,,
124051470,21177,4054,16202,921,,20110,4006,15390,714,,19755,4176,14994,585,,,,,,,,,,,,,
124051471,23624,4803,17484,1337,,23642,4906,17028,1708,,25576,5864,18186,1526,,,,,,,,,,,,,
125011472,26707,19130,5331,2246,,30195,22466,4699,3030,,33402,26038,4489,2875,,,,,,,,,,,,,
125011473,4628,1247,1195,2186,,9380,3417,3089,2874,,12082,4956,4597,2529,,,,,,,,,,,,,
125011474,26165,16744,7927,1494,,27177,17737,7009,2431,,30119,21666,6566,1887,,,,,,,,,,,,,
125011475,0,0,0,0,,0,0,0,0,,10,0,10,0,,,,,,,,,,,,,
125021476,23462,8184,14399,879,,23535,9775,12866,894,,24550,11558,11962,1030,,,,,,,,,,,,,
125021477,17343,5110,11212,1021,,17462,5976,10555,931,,19208,7420,10741,1047,,,,,,,,,,,,,
125021478,14382,4205,9364,813,,14462,4891,8673,898,,15750,6465,8386,899,,,,,,,,,,,,,
125031479,15209,6558,7417,1234,,15645,8016,6280,1349,,16646,9718,5946,982,,,,,,,,,,,,,
125031480,12777,8037,3878,862,,12870,8466,3621,783,,14394,10076,3626,692,,,,,,,,,,,,,
125031481,16500,9752,5555,1193,,16676,10674,4989,1013,,18205,11698,4959,1548,,,,,,,,,,,,,
125031482,20832,5925,14086,821,,20843,6734,13398,711,,23331,8275,14221,835,,,,,,,,,,,,,
125031483,15227,8117,5973,1137,,16158,9707,5014,1437,,18342,11944,4975,1423,,,,,,,,,,,,,
125031484,17006,6868,9133,1005,,17492,7835,8362,1295,,19028,9613,8136,1279,,,,,,,,,,,,,
125031485,22293,10707,10053,1533,,23884,12382,9590,1912,,25872,14665,9309,1898,,,,,,,,,,,,,
125031486,0,0,0,0,,0,0,0,0,,3,0,3,0,,,,,,,,,,,,,
125031487,0,0,0,0,,0,0,0,0,,7,7,0,0,,,,,,,,,,,,,
125041488,21603,8452,11230,1921,,23261,11326,10215,1720,,26076,14881,9208,1987,,,,,,,,,,,,,
125041489,17023,6425,8565,2033,,18163,7547,8072,2544,,20906,9958,8687,2261,,,,,,,,,,,,,
125041490,7258,1575,5505,178,,7156,1771,5171,214,,7577,2240,5151,186,,,,,,,,,,,,,
125041491,14105,4016,9043,1046,,15342,5127,8781,1434,,18618,8338,9005,1275,,,,,,,,,,,,,
125041492,17414,9420,5541,2453,,20439,11782,5836,2821,,24376,15228,5634,3514,,,,,,,,,,,,,
125041493,18809,4921,13009,879,,19584,6003,12652,929,,20699,7466,12406,827,,,,,,,,,,,,,
125041494,9751,1861,7552,338,,9562,2054,7167,341,,10285,2394,7538,353,,,,,,,,,,,,,
126011495,22068,6225,14962,881,,22672,8127,13504,1041,,23549,10260,12471,818,,,,,,,,,,,,,
126011496,18137,3007,14572,558,,18135,3641,13839,655,,19285,4597,14236,452,,,,,,,,,,,,,
126021497,21777,7564,13184,1029,,22108,9106,11538,1464,,23351,11308,10775,1268,,,,,,,,,,,,,
126021498,12868,2870,9454,544,,13191,3007,9485,699,,13318,3229,9614,475,,,,,,,,,,,,,
126021499,9702,1526,7745,431,,9849,1526,7562,761,,9726,1630,7727,369,,,,,,,,,,,,,
126021500,17835,6334,9889,1612,,18837,7504,8754,2579,,20167,9431,8469,2267,,,,,,,,,,,,,
126021501,12377,3056,8835,486,,12630,3558,8462,610,,12064,3746,7714,604,,,,,,,,,,,,,
126021502,23296,7596,14517,1183,,23581,8053,14362,1166,,26223,10159,14826,1238,,,,,,,,,,,,,
126021503,14405,5602,7930,873,,15413,6242,7753,1418,,16940,8210,7807,923,,,,,,,,,,,,,
