ColumName,Source,TimePeriod,Gender,Language,Include
OS_vis_C11_P,10B,2011,all,Overseas Visitors,YES
Tot_C01_M,10B,2001,male,Total,YES
Tot_C01_F,10B,2001,female,Total,YES
Tot_C01_P,10B,2001,all,Total,YES
Tot_C06_M,10B,2006,male,Total,YES
Tot_C06_F,10B,2006,female,Total,YES
Tot_C06_P,10B,2006,all,Total,YES
Tot_C11_M,10B,2011,male,Total,YES
Tot_C11_F,10B,2011,female,Total,YES
Tot_C11_P,10B,2011,all,Total,YES
